team_id,espn_id,school_name,team_symbol,team_name,search_name,link,logo_link
118,275,Wisconsin,WISC,Badgers,wisconsin,http://espn.go.com/college-football/team/_/id/275/wisconsin-badgers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/275.gif
119,2751,Wyoming,WYO,Cowboys,wyoming,http://espn.go.com/college-football/team/_/id/2751/wyoming-cowboys,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2751.gif
120,2026,Appalachian State,APP,Mountaineers,appalachian-state,http://www.espn.com/college-football/team/_/id/2026/appalachian-state-mountaineers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2026.gif
121,2005,Air Force,AFA,Falcons,air-force,http://www.espn.com/college-football/team/_/id/2005/air-force-falcons,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2005.gif
122,6,South Alabama,SBAMA,Jaguars,south-alabama,http://www.espn.com/college-football/team/_/id/6/south-alabama-jaguars,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/6.gif
123,290,Georgia Southern,GSU,Eagles,georgia-southern,https://www.espn.com/college-football/team/_/id/290/georgia-southern-eagles,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png
124,324,Coastal Carolina,CCU,Chanticleers,coastal-carolina,https://www.espn.com/college-football/team/_/id/324/coastal-carolina-chanticleers,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png
125,2335,Liberty,LU,Flames,liberty,https://www.espn.com/college-football/team/_/id/2335/liberty-flames,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
126,2636,Texas San Antonio,UTSA,Roadrunners,texas-san-antonio,https://www.espn.com/college-football/team/_/id/2636/utsa-roadrunners,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
127,2247,Georgia State,GSU,Panthers,georgia-state,https://www.espn.com/college-football/team/_/id/2247/georgia-state-panthers,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
